,player,team,pos,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,punt,punt_yds,punt_yds_per_punt
0,David Akers,SFO,,2,2,16,16,14,13,11,6,9,7,52,44,84.6%,34,34,100.0%,93,6077,47,50.5%,65.3,,,
1,Graham Gano,WAS,,,,15,14,9,5,11,8,6,4,41,31,75.6%,26,25,96.2%,73,4426,32,43.8%,60.6,,,
2,Mike Nugent,CIN,,,,14,14,8,5,16,14,,,38,33,86.8%,34,33,97.1%,80,5215,36,45.0%,65.2,,,
3,Neil Rackers,HOU,,,,14,14,11,10,8,4,5,4,38,32,84.2%,40,39,97.5%,36,2182,15,41.7%,60.6,,,
4,Dan Bailey,DAL,,1,1,9,8,11,11,12,10,4,2,37,32,86.5%,39,39,100.0%,67,4243,24,35.8%,63.3,2,79,39.5
5,Billy Cundiff,BAL,,1,1,9,9,12,10,9,7,6,1,37,28,75.7%,38,38,100.0%,76,4881,44,57.9%,64.2,,,
6,Sebastian Janikowski,OAK,,1,1,8,8,5,5,11,10,10,7,35,31,88.6%,36,36,100.0%,80,4968,32,40.0%,62.1,,,
7,Dan Carpenter,MIA,,,,11,10,7,6,12,11,4,2,34,29,85.3%,26,26,100.0%,68,4420,39,57.4%,65.0,,,
8,John Kasay,NOR,,,,11,11,10,10,8,5,5,2,34,28,82.4%,63,63,100.0%,2,18,,,9.0,,,
9,Nick Novak,SDG,,,,11,11,5,4,11,8,7,4,34,27,79.4%,42,41,97.6%,86,5551,30,34.9%,64.5,,,
10,Stephen Gostkowski,NWE,,1,1,13,12,6,5,11,9,2,1,33,28,84.8%,59,59,100.0%,103,6568,41,39.8%,63.8,,,
11,Rob Bironas,TEN,,,,5,5,10,9,10,9,7,6,32,29,90.6%,34,34,100.0%,78,4847,44,56.4%,62.1,,,
12,Robbie Gould,CHI,,,,10,10,6,6,10,6,6,6,32,28,87.5%,37,37,100.0%,81,5119,43,53.1%,63.2,,,
13,Shaun Suisham,PIT,,2,2,8,8,8,6,11,6,2,1,31,23,74.2%,36,36,100.0%,72,4698,28,38.9%,65.3,,,
14,Stephen Hauschka,SEA,,2,2,6,5,10,9,8,7,4,2,30,25,83.3%,34,34,100.0%,75,4899,26,34.7%,65.3,,,
15,Ryan Succop,KAN,,1,1,7,7,7,6,12,7,3,3,30,24,80.0%,20,20,100.0%,59,3589,31,52.5%,60.8,,,
16,Matt Bryant,ATL,,2,2,9,9,9,9,7,5,2,2,29,27,93.1%,45,45,100.0%,,,,,,,,
17,Phil Dawson,CLE,,,,9,7,4,3,8,7,8,7,29,24,82.8%,20,20,100.0%,59,3661,10,16.9%,62.1,,,
18,Jason Hanson,DET,,,,9,9,9,8,4,2,7,5,29,24,82.8%,54,54,100.0%,96,6156,45,46.9%,64.1,,,
19,Connor Barth,TAM,,,,5,5,6,6,14,13,3,2,28,26,92.9%,23,23,100.0%,,,,,,,,
20,Josh Brown,STL,,,,7,7,7,6,12,8,2,,28,21,75.0%,18,18,100.0%,,,,,,,,
21,Mason Crosby,GNB,,1,1,5,4,14,14,5,3,3,2,28,24,85.7%,69,68,98.6%,108,6892,49,45.4%,63.8,,,
22,Ryan Longwell,MIN,,,,7,7,8,7,10,6,3,2,28,22,78.6%,39,38,97.4%,77,4878,19,24.7%,63.4,,,
23,Olindo Mare,CAR,,1,1,7,7,9,6,9,8,2,,28,22,78.6%,45,44,97.8%,84,5366,53,63.1%,63.9,,,
24,Alex Henery,PHI,,,,10,10,11,9,4,4,2,1,27,24,88.9%,46,46,100.0%,85,5433,32,37.6%,63.9,,,
25,Adam Vinatieri,IND,,,,7,7,7,6,10,8,3,2,27,23,85.2%,24,24,100.0%,,,,,,,,
26,Nick Folk,NYJ,,,,6,5,6,6,7,5,6,3,25,19,76.0%,44,44,100.0%,81,5094,17,21.0%,62.9,,,
27,Matt Prater,DEN,,,,6,5,8,8,7,3,4,3,25,19,76.0%,30,30,100.0%,69,4393,47,68.1%,63.7,,,
28,Josh Scobee,JAX,,1,1,5,5,5,5,8,7,6,5,25,23,92.0%,24,24,100.0%,62,4097,39,62.9%,66.1,,,
29,Jay Feely,ARI,,,,9,9,6,4,7,5,2,1,24,19,79.2%,33,33,100.0%,71,4779,22,31.0%,67.3,,,
30,Lawrence Tynes,NYG,,,,12,12,4,3,5,3,3,1,24,19,79.2%,43,43,100.0%,79,5077,34,43.0%,64.3,,,
31,Rian Lindell,BUF,,,,6,6,3,2,6,5,,,15,13,86.7%,25,25,100.0%,43,2733,12,27.9%,63.6,,,
32,Dave Rayner,2TM,,,,6,5,4,3,1,,4,2,15,10,66.7%,13,13,100.0%,30,1740,7,23.3%,58.0,,,
33,Shayne Graham,2TM,,,,4,4,,,3,2,,,7,6,85.7%,8,8,100.0%,16,1003,1,6.3%,62.7,,,
34,Mike Scifres,SDG,,,,,,,,1,1,,,1,1,100.0%,3,3,100.0%,4,239,2,50.0%,59.8,47,2234,47.5
35,Brandon Coutu,BUF,,,,,,,,1,,,,1,,0.0%,3,3,100.0%,4,246,,,61.5,,,
36,Donnie Jones,STL,,,,,,,,,,,,,,,,,,,,,,,105,4652,44.3
37,Britton Colquitt,DEN,,,,,,,,,,,,,,,,,,1,66,,,66.0,101,4783,47.4
38,Jon Ryan,SEA,,,,,,,,,,,,,,,,,,,,,,,95,4431,46.6
39,T.J. Conley,NYJ,,,,,,,,,,,,,,,,,,,,,,,92,3926,42.7
40,Kevin Huber,CIN,,,,,,,,,,,,,,,,,,,,,,,91,4023,44.2
41,Dustin Colquitt,KAN,,,,,,,,,,,,,,,,,,1,57,,,57.0,89,4084,45.9
42,Adam Podlesh,CHI,,,,,,,,,,,,,,,,,,1,50,,,50.0,89,3903,43.9
43,Pat McAfee,IND,,,,,,,,,,,,,,,,,,63,4010,41,65.1%,63.7,88,4102,46.6
44,Dave Zastudil,ARI,,,,,,,,,,,,,,,,,,3,178,,,59.3,87,3929,45.2
45,Brett Kern,TEN,,,,,,,,,,,,,,,,,,,,,,,86,3747,43.6
46,Steve Weatherford,NYG,,,,,,,,,,,,,,,,,,3,85,,,28.3,82,3745,45.7
47,Brad Maynard,CLE,,,,,,,,,,,,,,,,,,,,,,,81,3282,40.5
48,Brandon Fields,MIA,,,,,,,,,,,,,,,,,,3,156,,,52.0,78,3810,48.8
49,Shane Lechler,OAK,,,,,,,,,,,,,,,,,,,,,,,78,3960,50.8
50,Andy Lee,SFO,,,,,,,,,,,,,,,,,,1,51,,,51.0,78,3970,50.9
51,Chris Kluwe,MIN,,,,,,,,,,,,,,,,,,1,36,,,36.0,77,3517,45.7
52,Sam Koch,BAL,,,,,,,,,,,,,,,,,,2,113,1,50.0%,56.5,73,3393,46.5
53,Nick Harris,JAX,,,,,,,,,,,,,,,,,,,,,,,72,3075,42.7
54,Brian Moorman,BUF,,,,,,,,,,,,,,,,,,2,85,,,42.5,72,3472,48.2
55,Matthew Bosher,ATL,,,,,,,,,,,,,,,,,,88,5671,25,28.4%,64.4,70,2990,42.7
56,Michael Koenen,TAM,,,,,,,,,,,,,,,,,,69,4177,37,53.6%,60.5,67,3023,45.1
57,Jason Baker,CAR,,,,,,,,,,,,,,,,,,,,,,,66,2819,42.7
58,Chas Henry,PHI,,,,,,,,,,,,,,,,,,,,,,,66,2830,42.9
59,Saverio Rocca,WAS,,,,,,,,,,,,,,,,,,,,,,,66,2842,43.1
60,Brett Hartmann,HOU,,,,,,,,,,,,,,,,,,50,3275,23,46.0%,65.5,58,2573,44.4
61,Mat McBriar,DAL,,,,,,,,,,,,,,,,,,1,62,,,62.0,58,2542,43.8
62,Zoltan Mesko,NWE,,,,,,,,,,,,,,,,,,1,64,,,64.0,57,2648,46.5
63,Tim Masthay,GNB,,,,,,,,,,,,,,,,,,2,113,,,56.5,55,2506,45.6
64,Ryan Donahue,DET,,,,,,,,,,,,,,,,,,1,59,,,59.0,49,2093,42.7
65,Thomas Morstead,NOR,,,,,,,,,,,,,,,,,,105,6807,68,64.8%,64.8,46,2224,48.3
66,Matt Turk,2TM,,,,,,,,,,,,,,,,,,2,116,,,58.0,43,1755,40.8
67,Jeremy Kapinos,PIT,,,,,,,,,,,,,,,,,,,,,,,34,1530,45.0
68,Ben Graham,2TM,,,,,,,,,,,,,,,,,,,,,,,33,1447,43.8
69,Daniel Sepulveda,PIT,,,,,,,,,,,,,,,,,,,,,,,25,1153,46.1
70,Chris Jones,DAL,,,,,,,,,,,,,,,,,,,,,,,10,426,42.6
71,Richmond McGee,CLE,,,,,,,,,,,,,,,,,,,,,,,8,288,36.0
72,Robert Malone,DET,,,,,,,,,,,,,,,,,,,,,,,5,245,49.0
